ClientAccountID,AccountAlias,Model,CurrencyPrimary,AssetClass,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,TransactionType,TradeID,OrderID,ExecID,BrokerageOrderID,OrderReference,VolatilityOrderLink,ClearingFirmID,OrigTradePrice,OrigTradeDate,OrigTradeID,OrderTime,Date/Time,ReportDate,SettleDate,TradeDate,Exchange,Buy/Sell,Quantity,Price,Amount,Proceeds,Commission,BrokerExecutionCommission,BrokerClearingCommission,ThirdPartyExecutionCommission,ThirdPartyClearingCommission,ThirdPartyRegulatoryCommission,OtherCommission,CommissionCurrency,Tax,Code,OrderType,LevelOfDetail,TraderID,IsAPIOrder,AllocatedTo,AccruedInterest
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221307060,171434912,0000e1a7.5d4c0ba2.01.01,0041e7dd.0000ff2f.5d4ba88f.0001,,,,0,,,20190808;105724,20190808;105724,20190808,20190809,20190808,ECBOT,BUY,1,160.65625,160656.25,-160656.25,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221308683,171435988,0000e1a7.5d4c11ce.01.01,0041e7dd.0000ff2f.5d4ba8cd.0001,,,,0,,,20190808;111023,20190808;111023,20190808,20190809,20190808,ECBOT,BUY,2,160.8125,321625,-321625,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221311292,171438094,0000e1a7.5d4c1b25.01.01,0041e7dd.0000ff2f.5d4ba938.0001,,,,0,,,20190808;113108,20190808;113146,20190808,20190809,20190808,ECBOT,BUY,1,160.625,160625,-160625,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221316766,171443014,0000e1a7.5d4c2dee.01.01,0041e7dd.0000ff2f.5d4ba9b2.0001,,,,0,,,20190808;120823,20190808;120823,20190808,20190809,20190808,ECBOT,BUY,1,160.46875,160468.75,-160468.75,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221317103,171443300,0000e1a7.5d4c2ee8.01.01,0041e7dd.0000ff2f.5d4ba9bd.0001,,,,0,,,20190808;121226,20190808;121226,20190808,20190809,20190808,ECBOT,BUY,1,160.4375,160437.5,-160437.5,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221318533,171444190,0000e1a7.5d4c346e.01.01,0041e7dd.0000ff2f.5d4ba9e9.0001,,,,0,,,20190808;122420,20190808;122420,20190808,20190809,20190808,ECBOT,BUY,1,160.4375,160437.5,-160437.5,-1.67,-0.85,0,-0.8,0,-0.02,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221319174,171444764,0000e1a7.5d4c371e.01.01,0041e7dd.0000ff2f.5d4ba9ff.0001,,,,0,,,20190808;123207,20190808;123216,20190808,20190809,20190808,ECBOT,BUY,3,160.3125,480937.5,-480937.5,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221327226,171447882,0000e1a7.5d4c5777.01.01,0041e7dd.0000ff2f.5d4baa62.0001,,,,0,,,20190808;131003,20190808;131003,20190808,20190809,20190808,ECBOT,BUY,3,160.40625,481218.75,-481218.75,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221333300,171449037,0000e1a7.5d4c6ede.01.01,0041e7dd.0000ff2f.5d4baa8c.0001,,,,0,,,20190808;132255,20190808;132257,20190808,20190809,20190808,ECBOT,BUY,2,160.53125,321062.5,-321062.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221344968,171451935,0000e1a7.5d4c99ff.01.01,0041e7dd.0000ff2f.5d4baaa7.0001,,,,0,,,20190808;135938,20190808;135938,20190808,20190809,20190808,ECBOT,BUY,2,160.90625,321812.5,-321812.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
